Hospital Name,HCPCS Category,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent,Definitive ID
Unity Physicians Hospital (FKA Unity Medical and Surgical Hospital),Surgery - Eye and Ocular Adnexa,"$1,676","$4,158",,,,,1381
Methodist Hospitals - Northlake,Path. and Lab. - Organ or Disease-Oriented Panels,"$1,675","$156,186",286,97,Methodist Hospitals,,1345
Pulaski Memorial Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,"$1,675","$5,235",21,,,,5081
Holy Cross Hospital,Temporary Hospital Outpatient Prospective Payment System,"$1,675","$12,581",11,11,Sinai Chicago (FKA Sinai Health System),,1141
Wellstar Cobb Hospital,Medicine - Cardiovascular,"$1,673","$24,738",50,,Wellstar Health System,Wellstar Health System,965
Novant Health Presbyterian Medical Center (FKA Presbyterian Hospital),Surgery - Eye and Ocular Adnexa,"$1,673","$1,487",,,Novant Health,Novant Health,3008
Lee Memorial Hospital,Radiology - Nuclear Medicine,"$1,673","$18,995",,,Lee Health (AKA Lee Memorial Health System),Lee Health (AKA Lee Memorial Health System),830
Holy Family Medical Center (FKA Ascension Holy Family),Medicine - Cardiovascular,"$1,669","$18,452",,,Prime Healthcare Services,Prime Healthcare Services,6165
Mercyhealth Hospital and Physician Clinic - Crystal Lake,Medicine - Cardiovascular,"$1,669","$14,380",,,Mercyhealth (FKA Mercy Health System),,941182
Iroquois Memorial Hospital,Eval. and Mgmt. - Emergency Department Services,"$1,667","$10,942",,,,,1188
MercyOne Genesis Davenport Medical Center (FKA Genesis Medical Center - East Rusholme Street),Medicine - Physical Medicine and Rehabilitation,"$1,666","$10,508",67,,MercyOne Genesis (FKA Genesis Health System),Trinity Health (FKA CHE Trinity Health),1497
Franciscan Health Michigan City (FKA Franciscan St Anthony Health - Michigan City),Medicine - Noninvasive Vascular Diagnostic Studies,"$1,666","$27,282",16,15,Franciscan Alliance Inc (AKA Franciscan Health),,1348
Saint Mary Hospital - Kankakee (FKA Ascension St Mary Kankakee),Medicine - Neurology and Neuromuscular Procedures,"$1,664","$21,725",,,Prime Healthcare Services,Prime Healthcare Services,1200
John H Stroger Jr Hospital of Cook County,Radiology - Bone/Joint Studies,"$1,663","$4,352",16,16,Cook County Health & Hospitals System,,1140
Northwestern Medicine Kishwaukee Hospital (FKA Kishwaukee Community Hospital),Medicine - Neurology and Neuromuscular Procedures,"$1,663","$7,481",11,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1171
Eisenhower Health (AKA Eisenhower Medical Center),Surgery - Respiratory System,"$1,663","$3,257",,,,,497
Barnes-Jewish West County Hospital,Surgery - Auditory System,"$1,661","$10,400",,,BJC HealthCare,BJC HealthCare,2429
Parkview Regional Medical Center,"Medicine - Injections, Infusions, and Complex Agent Administration","$1,660","$16,718",20,,Parkview Health,,1290
Edward Hospital (FKA Edward Heart Hospital),Path. and Lab. - Therapeutic Drug Assays,"$1,659","$39,237",139,53,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
CHI St Vincent Hot Springs (FKA Mercy Hospital Hot Springs),Surgery - Digestive System,"$1,659","$7,856",,,CHI St Vincent (FKA St Vincent Health System),CommonSpirit Health,249
Memorial Sloan Kettering Cancer Center,Surgery - Digestive System,"$1,657","$8,620",,,,,2846
Ascension St Alexius (FKA AMITA Health St Alexius Medical Center Hoffman Estates),Medicine - Noninvasive Vascular Diagnostic Studies,"$1,657","$36,490",20,15,Ascension Health Illinois,Ascension Health,1137
John H Stroger Jr Hospital of Cook County,Medicine - Noninvasive Vascular Diagnostic Studies,"$1,656","$11,851",35,31,Cook County Health & Hospitals System,,1140
Mercyhealth FHN Hospital (FKA FHN Memorial Hospital),Surgery - Eye and Ocular Adnexa,"$1,655","$4,058",,,Mercyhealth (FKA Mercy Health System),,1263
Freeman Hospital West,Radiology - Diagnostic Imaging,"$1,654","$36,803",,,Freeman Health System,,2387
SSM Health Saint Louis University Hospital,Chemotherapy Drugs,"$1,651","$14,684",,,SSM Health St Louis,SSM Health,2444
Advocate Trinity Hospital,Pathology and Laboratory,"$1,650","$13,925",14,,Advocate Health Care,Advocate Health,1156
AdventHealth Tampa (FKA Florida Hospital Tampa),Medicine - Physical Medicine and Rehabilitation,"$1,649","$20,118",79,,AdventHealth West Florida Division,AdventHealth (FKA Adventist Health System),812
Community Hospital of Bremen,Radiology - Diagnostic Imaging,"$1,648","$8,408",,,Beacon Health System,,1367
Riverside Medical Center (AKA Riverside Healthcare),Orthotic/Prosthetic Procedures,"$1,648","$5,087",,,,,1201
Franciscan Health Michigan City (FKA Franciscan St Anthony Health - Michigan City),Path. and Lab. - Organ or Disease-Oriented Panels,"$1,647","$84,483",194,78,Franciscan Alliance Inc (AKA Franciscan Health),,1348
St Mary Medical Center,Medicine - Pulmonary,"$1,646","$12,977",43,24,Powers Health (FKA Community Healthcare System),,1344
Menorah Medical Center,Radiology - Nuclear Medicine,"$1,644","$6,993",,,HCA Mid America Division (AKA HCA Midwest Health),HCA Healthcare (FKA Hospital Corporation of America),1566
Mercyhealth Hospital and Medical Center - Harvard,Path. and Lab. - Chemistry,"$1,641","$6,390",36,,Mercyhealth (FKA Mercy Health System),,1221
Northwestern Medicine Valley West Hospital (FKA Valley West Community Hospital),Temporary Procedures & Professional Services,"$1,638","$178,796",353,115,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1170
Essentia Health - Virginia,Surgery - Cardiovascular System,"$1,636","$6,024",23,,Essentia Health,,2213
Temple University Hospital,Surgery - Urinary System,"$1,635","$28,090",,,Temple University Health System (AKA Temple Health),,3577
Carle Health Pekin Hospital (FKA Pekin Hospital),Radiology - Diagnostic Imaging,"$1,634","$50,185",14,,Carle Health System,,1264
Cox Medical Center South,Medicine - Physical Medicine and Rehabilitation,"$1,632","$16,812",85,,CoxHealth,CoxHealth,2369
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),Medicine - Dialysis,"$1,632","$10,029",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1196
Aurora Medical Center - Oshkosh,Eval. and Mgmt. - Emergency Department Services,"$1,631","$8,475",,,Aurora Health Care,Advocate Health,4593
Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),Radiology - Breast Mammography,"$1,631","$12,222",28,14,Prime Healthcare Services,Prime Healthcare Services,1123
John H Stroger Jr Hospital of Cook County,Temporary Codes,"$1,630","$13,767",125,60,Cook County Health & Hospitals System,,1140
ProHealth Waukesha Memorial Hospital (FKA Waukesha Memorial Hospital),Medicine - Physical Medicine and Rehabilitation,"$1,628","$17,296",25,,ProHealth Care,ProHealth Care,4587
Erie County Medical Center (AKA ECMC),Eval. and Mgmt. - Emergency Department Services,"$1,628","$13,941",,,Great Lakes Health System of Western New York,Great Lakes Health System of Western New York,2787
Mount Sinai South Nassau (FKA South Nassau Communities Hospital),Surgery - Digestive System,"$1,628","$22,040",,,Mount Sinai Health System (FKA Mount Sinai Medical Center),,2827
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),Path. and Lab. - Immunology,"$1,624","$40,910",225,149,Sinai Chicago (FKA Sinai Health System),,1152
IU Health Arnett Hospital,Temporary Procedures & Professional Services,"$1,623","$13,540",,,Indiana University Health (AKA IU Health),,1389
Cedars-Sinai Medical Center,Medicine - Cardiovascular,"$1,621","$32,065",12,,Cedars-Sinai Health System,Cedars-Sinai Health System,430
OSF Saint Anthony Medical Center,Medicine - Neurology and Neuromuscular Procedures,"$1,620","$20,560",,,OSF HealthCare,,1282
City of Hope Chicago (FKA Cancer Treatment Centers of America - Chicago),Surgery - Musculoskeletal System,"$1,619","$11,735",,,City of Hope,,1206
Providence St Vincent Medical Center,Medicine - Physical Medicine and Rehabilitation,"$1,618","$8,818",31,,Providence Health & Services - Oregon and Southwest Washington,Providence St Joseph Health (AKA Providence),3428
Northwest Health - Porter (AKA Porter Regional Hospital),Path. and Lab. - Microbiology,"$1,617","$35,822",193,59,Northwest Health Porter (FKA Porter Health Care System),Community Health Systems (AKA CHS),1376
Ochsner Medical Center - Main Campus,Temporary Procedures & Professional Services,"$1,614","$6,718",34,,Ochsner Health System,Ochsner Health System,1772
MacNeal Hospital,Medicine - Noninvasive Vascular Diagnostic Studies,"$1,611","$35,199",14,13,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1159
Advocate Sherman Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,"$1,608","$69,437",350,121,Advocate Health Care,Advocate Health,1199
OSF HealthCare Saint Clare Medical Center (FKA Perry Memorial Hospital),Temporary Procedures & Professional Services,"$1,608","$6,213",,,OSF HealthCare,,1110
St Josephs Health Hospital (AKA St Josephs Health),Surgery - Digestive System,"$1,607","$5,634",,,St Peters Health Partners,Trinity Health (FKA CHE Trinity Health),2859
Mishawaka Medical Center (FKA St Joseph Regional Medical Center),Medicine - Physical Medicine and Rehabilitation,"$1,604","$10,741",26,,St Joseph Health System (Mishawaka IN),Trinity Health (FKA CHE Trinity Health),1382
Roseland Community Hospital,"Medicine - Injections, Infusions, and Complex Agent Administration","$1,602","$6,091",18,,,,1167
UW Health SwedishAmerican Hospital (FKA SwedishAmerican Hospital),Path. and Lab. - Chemistry,"$1,598","$110,943",363,50,University of Wisconsin Health (AKA UW Health),,1283
OSF Saint Elizabeth Medical Center (FKA Ottawa Regional Hosp & Hc Center),Radiology - Bone/Joint Studies,"$1,598","$12,600",15,15,OSF HealthCare,,1213
Advocate Good Shepherd Hospital,Path. and Lab. - Transfusion Medicine,"$1,597","$18,530",70,11,Advocate Health Care,Advocate Health,1210
Elmhurst Hospital,Surgery - General,"$1,597","$6,750",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
AdventHealth Waterman (FKA Florida Hospital Waterman),Eval. and Mgmt. - Emergency Department Services,"$1,597","$17,805",,,AdventHealth East Florida Division,AdventHealth (FKA Adventist Health System),827
Queens Medical Center,Eval. and Mgmt. - Emergency Department Services,"$1,589","$13,732",,,The Queens Health Systems,,1083
Swedish Hospital (FKA Swedish Covenant Hospital),Path. and Lab. - Immunology,"$1,588","$40,163",178,73,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1145
Scripps Green Hospital,Surgery - Integumentary System,"$1,588","$8,353",,,Scripps Health,,537
Tucson Medical Center (AKA TMC HealthCare),Medicine - Cardiovascular,"$1,587","$5,307",19,,TMC Health,,208
Advocate Condell Medical Center,Surgery - General,"$1,587","$10,950",,,Advocate Health Care,Advocate Health,1207
Franciscan Health Munster (FKA Franciscan Healthcare - Munster Franciscan Physicians Hospital LLC),Medicine - Physical Medicine and Rehabilitation,"$1,586","$16,288",30,,Franciscan Alliance Inc (AKA Franciscan Health),,1338
Advocate Good Samaritan Hospital,Medicine - Dialysis,"$1,586","$16,530",,,Advocate Health Care,Advocate Health,1173
UChicago Medicine Ingalls Memorial Hospital,Medicine - Dialysis,"$1,586","$8,163",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1118
Advocate Sherman Hospital,Surgery - Urinary System,"$1,585","$10,140",,,Advocate Health Care,Advocate Health,1199
Wellington Regional Medical Center,Eval. and Mgmt. - Emergency Department Services,"$1,584","$20,751",,,Universal Health Services,Universal Health Services,881
Northern Light Mayo Hospital (FKA Mayo Regional Hospital),Surgery - Female Genital System,"$1,583","$5,731",,,Northern Light Health (FKA Eastern Maine Healthcare Systems),,1866
Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),Eval. and Mgmt. - Emergency Department Services,"$1,583","$6,505",,,Corewell Health West (FKA Spectrum Health),Corewell Health (FKA BHSH System),2035
Mayo Clinic Hospital - Arizona,Surgery - Male Genital System,"$1,582","$5,112",,,Mayo Clinic,Mayo Clinic,178
Community Hospital,Surgery - General,"$1,582","$6,309",,,Powers Health (FKA Community Healthcare System),,1340
Insight Hospital & Medical Center Chicago (FKA Mercy Hospital & Medical Center),Surgery - Respiratory System,"$1,581","$18,024",,,Insight,,1144
West Tennessee Healthcare Camden Hospital (FKA Camden General Hospital),Eval. and Mgmt. - Emergency Department Services,"$1,580","$9,486",,,West Tennessee Healthcare,,3722
Abbott Northwestern Hospital,Surgery - Nervous System,"$1,580","$18,513",,,Allina Health,,2151
Carle Health Pekin Hospital (FKA Pekin Hospital),"Medicine - Injections, Infusions, and Complex Agent Administration","$1,577","$6,715",14,,Carle Health System,,1264
Logan Health Medical Center (FKA Kalispell Regional Medical Center),Temporary Codes,"$1,577","$8,737",,,Logan Health (FKA Kalispell Regional Healthcare),Billings Clinic-Logan Health (AKA Billings Clinic and Logan Health),2459
Community Hospital,Pathology and Laboratory,"$1,574","$26,926",21,,Powers Health (FKA Community Healthcare System),,1340
Beloit Health System (FKA Beloit Memorial Hospital),Medicine - Physical Medicine and Rehabilitation,"$1,574","$17,963",39,,Beloit Health System,,4562
Vista Medical Center East (AKA Vista Health System),Medicine - Pulmonary,"$1,574","$8,787",11,,American Healthcare Systems,,1204
Humboldt Park Health (FKA Norwegian American Hospital),Path. and Lab. - Microbiology,"$1,573","$38,602",145,65,,,1126
UCI Health - Orange (FKA UCI Medical Center),Surgery - Cardiovascular System,"$1,569","$2,646",,,UCI Health,University of California Health (AKA UC Health-CA),470
UnityPoint Health St Lukes Hospital,Radiology - Diagnostic Imaging,"$1,565","$33,369",19,,UnityPoint Health (FKA Iowa Health System),UnityPoint Health (FKA Iowa Health System),1468
Aurora Medical Center - Burlington (FKA Aurora Memorial Hospital of Burlington),Surgery - Digestive System,"$1,563","$11,140",,,Aurora Health Care,Advocate Health,4558
Froedtert Hospital,Medicine - Ophthalmology,"$1,561","$6,058",32,,Froedtert & the Medical College of Wisconsin,Froedtert ThedaCare Health Inc,4529
Merrimack Health Methuen Hospital (FKA Holy Family Hospital - Methuen),Surgery - Nervous System,"$1,560","$4,367",,,Merrimack Health (FKA Lawrence General Hospital System),,1936
Advocate Lutheran General Hospital,Path. and Lab. - Surgical Pathology,"$1,559","$240,715",207,71,Advocate Health Care,Advocate Health,1128
Mayo Clinic Hospital - Saint Marys Campus,Surgery - General,"$1,559","$4,733",,,Mayo Clinic,Mayo Clinic,2191
UW Health University Hospital,Medicine - Dialysis,"$1,559","$10,420",,,University of Wisconsin Health (AKA UW Health),,4493
Blessing Hospital,Eval. and Mgmt. - Emergency Department Services,"$1,554","$4,751",,,Blessing Health System,,1107
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"Medicine - Neuro-Cognitive, Mental Status, Speech Testing","$1,554","$11,999",15,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
St Catherine Hospital,Path. and Lab. - Microbiology,"$1,554","$20,025",96,24,Powers Health (FKA Community Healthcare System),,1346
Froedtert Community Hospital - New Berlin (AKA Moorland Reserve Health Center),"Medicine - Injections, Infusions, and Complex Agent Administration","$1,554","$5,046",21,,Froedtert & the Medical College of Wisconsin,Froedtert ThedaCare Health Inc,1009959
Sentara RMH Medical Center (FKA Rockingham Memorial Hospital),Temporary Procedures & Professional Services,"$1,554","$4,950",15,,Sentara Health (FKA Sentara Healthcare),,4319
Pinnacle Hospital,Temporary Procedures & Professional Services,"$1,550","$11,700",,,,,1339
Tamarack Health Ashland Medical Center (FKA Ashland Medical Center),Radiology - Diagnostic Imaging,"$1,550","$5,961",,,Tamarack Health (FKA Regional Enterprises Inc),,4474
HonorHealth Four Peaks Medical Center (FKA HonorHealth Mountain Vista Medical Center),Surgery - Integumentary System,"$1,549","$5,916",,,HonorHealth (FKA Scottsdale Lincoln Health Network),HonorHealth (FKA Scottsdale Lincoln Health Network),188
Marshfield Medical Center - Minocqua,Eval. and Mgmt. - Emergency Department Services,"$1,547","$5,230",,,Marshfield Clinic Health System (AKA Marshfield Clinic Region of Sanford Health),Sanford Health,1017834
